slang,formal
ngurusin,mengurusi
cakeeeeppp,cakep
benerr,benar
"brg""",bareng-bareng
baanget,banget
anjaaaayyyyyy,anjay
ni,ini
ingt,ingat
lgu,lagu
ngetsz,banget
yg,yang
kemaren,kemarin
utkmu,untukmu
yg,yang
dlm,dalam
yah,ya
tetep,tetap
anj,anjing
merekaa,mereka
belain,membela
kann,kan
dieee,dia
yaahh,ya
gini,begini
klo,kalo
bgt,banget
alloh,allah
yg,yang
hijap,hijab
smua,semua
dri,dari
pd,pada
ngurusin,mengurusi
org,orang
hijap,hijab
ternodain,ternodai
suka2,suka-suka
x,kali
wadaaw,waduh
komen2,komen-komen
ngeri2,ngeri-ngeri
yg,yang
km,kamu
mn,mana
yg,yang
bnr,benar
mn,mana
yg,yang
slh,salah
tp,tapi
kt2,kata-kata
yg,yang
pd,pada
agk,agak
tdk,tidak
bgs,bagus
tdk,tidak
tp,tapi
skli,sekali
lg,lagi
tlg,tolong
slhkan,salahkan
jilbabny,jilbabnya
tp,tapi
slhkan,salahkan
perilakuny,perilakunya
bkn,bukan
dr,dari
ketaatanny,ketaatannya
kepda,kepada
sblmny,sebelumnya
bljr,belajar
jd,jadi
pedulilaaaah,pedulilah
ingetin,mengingatkan
ga,tidak
terjrumus,terjerumus
dlm,dalam
karna,karena
yg,yang
kek,kayak
gini,begini
stuju,setuju
bnyak,banyak
yg,yang
temen,teman
yg,yang
gitu,begitu
sebenernya,sebenarnya
aja,saja
yg,yang
sbb,sebab
tp,tapi
aq,aku
lg,lagi
dlu,dulu
tp,tapi
igtlah,ingatlah
dtgkan,datangkan
tp,tapi
aq,aku
smoga,semoga
sperti,seperti
dlu,dulu
aq,aku
yg,yang
dlu,dulu
aq,aku
kpd,kepada
smg,semoga
org,orang
ga,tidak
ngerti,mengerti
kasi,kasih
aja,saja
trus,terus
dy,dia
berhijap,berhijab
ngk,tidak
dy,dia
emang,memang
udh,sudah
bener,benar
knp,kenapa
dy,dia
yg,yang
bnyk,banyak
gk,tidak
org,orang
jgn,jangan
dri,dari
benahin,membenahi
ngomong,mengomong
ga,tidak
temen,teman
yg,yang
ga,tidak
krn,karena
ga,tidak
bener,benar
kasi,kasih
kmu,kamu
yg,yang
lg,lagi
ngerti,mengerti
krn,karena
ohhhh,oh
yg,yang
tp,tapi
gk,tidak
bener,benar
org,orang
yapp,ya
yg,yang
udah,sudah
ga,tidak
emang,memang
tp,tapi
kn,kan
aja,saja
jauhh,jauh
bingitt,banget
klw,kalo
trims,terima kasih
yg,yang
buka2an,buka-bukaan
stiap,setiap
pst,pasti
liat,lihat
tp,tapi
ga,tidak
org,orang
pst,pasti
dy,dia
ato,atau
tdk,tidak
ngembali,kembali
pake,pakai
donk,dong
stiap,setiap
pst,pasti
liat,lihat
sp,sapa
yg,yang
bilng,bilang
lg,lagi
kerennn,keren
nyangka,menyangka
trs,terus
yaa,ya
semngat,semangat
amiin,amin
mw,mau
pengen,pengin
kk,kakak
lekong,laki
bgt,banget
kmu,kamu
g,tidak
kacauuuu,kacau
ngimpi,mimpi
yaa,ya
owh,oh
ad,ada
d,di
gk,tidak
d,di
ni,ini
org,orang
gak,tidak
y,ya
yah,ya
udah,sudah
ngerampas,merampas
syg,sayang
lg,lagi
sm,sama
elu,lu
udah,sudah
ngehancurin,menghancurkan
y,ya
skrg,sekarang
ngungkit2,mengungkit-ungkit
g,tidak
mlu,malu
org,orang
gw,gue
g,tidak
slah,salah
mba,mbak
yg,yang
gak,tidak
nyadar,menyadar
kaleee,kali
dmn,dimana
sbg,sebagai
d,di
sm,sama
tp,tapi
y,ya
qm,kamu
sm,sama
sndiri,sendiri
gak,tidak
laki2,laki-laki
laen,lain
aja,saja
mksd,maksud
bingit,banget
caranga,caranya
yg,yang
ga,tidak
usa,usah
dipikirin,dipikirkan
yg,yang
mreka,mereka
yg,yang
uda,sudah
yg,yang
tp,tapi
cantikk,cantik
lg,lagi
nunduk,menunduk
ny,nya
y,ya
trus,terus
g,tidak
kyk,kayak
tembemmm,tembem
lucuuuuuuuuuu,lucu
bundaaa,bunda
pngn,pengin
nyubitt,mencubit
hay,hai
yg,yang
jls2,jelas-jelas
supeer,super
sampe,sampai
sekrang,sekarang
"bener""",benar-benar
bgt,banget
mksh,terima kasih
udah,sudah
ksh,kasih
jd,jadi
gak,tidak
mksh,terima kasih
yg,yang
inginkn,inginkan
brsma,bersama
laki2,laki-laki
yg,yang
ninggalin,meninggalkan
nyesel,menyesal
ampe,sampai
pst,pasti
inni,ini
appa,apa
blm,belum
hayooo,hayo
ttp,tetap
adyem,adem
kluar,keluar
yg,yang
mitnah,memfitnah
gk,tidak
lgsg,langsung
cantiknyaaaaa,cantiknya
ajah,saja
nie,nih
tmbm,tembam
tpi,tapi
ttp,tetap
cntik,cantik
cantix,cantik
z,saja
seger,segar
bnyk,banyak
c,sih
yg,yang
kriput,keriput
g,tidak
jelex,jelek
g,tidak
ngurus,mengurus
drmn,darimana
"laku""",laku-laku
yg,yang
"orang""nya",orang-orangnya
jg,juga
pd,pada
kacian,kasihan
ngak,tidak
diladenin,diladeni
tar,entar
yg,yang
cape,capek
jg,juga
mancing2,memancing-mancing
aja,saja
pake,pakai
diem,diam
tetep,tetap
ak,aku
d,di
gituin,begitukan
lg,lagi
pdahal,padahal
bgt,banget
lupain,melupakan
d,di
bgt,banget
klo,kalo
inget,ingat
lg,lagi
eeeeh,eh
"bner""",benar-benar
ngingetin,mengingatkan
k,ke
tp,tapi
ajja,saja
sperti,seperti
dlu,dulu
jngan,jangan
kpancing,terpancing
lakuin,melakukan
gtu,begitu
cma,cuma
cri,cari
sbenernya,sebenarnya
bkin,bikin
yg,yang
gk,tidak
bgt,banget
klo,kalo
mh,mah
ga,tidak
yg,yang
bnr2,benar-benar
ksih,kasih
cma,cuma
gw,gue
yg,yang
ngerasa,merasa
cantiiik,cantik
mikirinnn,memikirkan
tetep,tetap
yg,yang
syang,sayang
mf,maaf
y,ya
mb,mbak
gak,tidak
w,gue
klo,kalo
bnr,benar
dgn,dengan
"diam""",diam-diam
bw,bawa
pst,pasti
ni,ini
klo,kalo
sampe,sampai
k,ke
akn,akan
mengalahkn,mengalahkan
yg,yang
lg,lagi
skrg,sekarang
jd,jadi
lg,lagi
yaa,ya
iyaa,iya
nyindirin,menyindir
trus,terus
ngambek,mengambek
nee,ini
ndak,indak
smua,semua
temen2,teman-teman
klakuan,kelakuan
tp,tapi
merka,mereka
ga,tidak
ngomong,mengomong
atw,atau
temen,teman
yg,yang
gak,tidak
dgn,dengan
tp,tapi
klo,kalo
dgn,dengan
cm,cuma
aja,saja
msh,masih
byk,banyak
temen,teman
yg,yang
laen,lain
mksdx,maksudnya
shabat,sahabat
yg,yang
jk,jika
brbuat,berbuat
slh,salah
tp,tapi
kl,kalo
sm2,sama-sama
mmberi,memberi
nm,nama
bkn,bukan
sbhabat,sahabat
tp,tapi
pnjerumus,penjerumus
hrs,harus
bs,bisa
bedain,membedakan
mn,mana
yg,yang
tman,teman
shbat,sahabat
dgn,dengan
melakukn,melakukan
mksud,maksud
sya,saya
percya,percaya
yg,yang
seorg,seorang
berkluarga,berkeluarga
seneng,senang
kn,kan
klo,kalo
liat,lihat
rmh,rumah
klian,kalian
dlm,dalam
siapa2,siapa-siapa
yg,yang
fto,foto
ketipu,tertipu
"laki""",laki-laki
gak,tidak
sempet,sempat
yg,yang
mengait2kan,mengait-ngaitkan
taik,tahi
nyir2,nyinyir
gosipin,menggosipkan
org,orang
gk,tidak
trbukti,terbukti
yg,yang
nie,ini
mudah2an,mudah-mudahan
dpt,dapat
tai,tahi
yg,yang
tdk,tidak
dgn,dengan
jgn,jangan
d,di
sllu,selalu
kya,kaya
sendri,sendiri
ttp,tetap
bener,benar
bgt,banget
bntar,bentar
lg,lagi
jg,juga
cepet,cepat
kebongkar,terbongkar
km,kamu
kmu,kamu
bnget,banget
duuuhhh,duh
bgt,banget
cwe,cewek
nmbk,menembak
cwo,cowok
gw,gue
dengerin,dengarkan
gitu,begitu
gakkk,tidak
yg,yang
nyanyiin,menyanyikan
ahh,ah
yaa,ya
tuch,tuh
ampunnnnn,ampun
gokil,gila
abiiiiisssss,habis
tp,tapi
jga,juga
syg,sayang
tikung2,tikung-tikung
ntar,entar
ma,sama
cwok,cowok
cantikk,cantik
bangedd,banget
wuastagah,astaga
bedaaa,beda
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
dg,dengan
jngn,jangan
sumpeh,sumpah
kk,kakak
jg,juga
yaa,ya
emang,memang
byk,banyak
yg,yang
kek,kayak
bener,benar
yak,ya
bgt,banget
donk,dong
jd,jadi
iyh,iya
k,kak
kmana,kemana
ga,tidak
tetep,tetap
aja,saja
elo,lo
kyk,kayak
skali,sekali
ibuk2,ibu-ibu
cantiqs,cantik
bangetttttttt,banget
gemes,gemas
kecik,kecil
smpai,sampai
nggak,tidak
tp,tapi
tetep,tetap
yg,yang
ga,tidak
tetehh,teteh
brasa,berasa
dr,dari
udh,sudah
bgt,banget
ga,tidak
krn,karena
udah,sudah
benar2,benar-benar
yg,yang
trlihat,terlihat
bhw,bahwa
mmberikan,memberikan
utk,untuk
dn,dan
dlm,dalam
khidupan,kehidupan
kluarga,keluarga
bnget,banget
jdi,jadi
srpti,seperti
yg,yang
dinamakn,dinamakan
org,orang
yg,yang
pst,pasti
seneng,senang
bgt,banget
liatnya,lihatnya
yg,yang
ja,saja
gak,tidak
ma,sama
pdahal,padahal
org,orang
mlu,melulu
sgtu,sebegitu
yg,yang
paati,pasti
th,tahu
yg,yang
jg,juga
kluarga,keluarga
jng,jangan
kutuu,kutu
setelur2nya,setelur-telurnya
yg,yang
bgt,banget
kl,kalo
kluarga,keluarga
ni,ini
seneng,senang
bgt,banget
dech,deh
seneng,senang
bgt,banget
liatnya,lihatnya
ak,aku
yg,yang
khadiran,kehadiran
dlm,dalam
kel,keluarga
dg,dengan
srta,serta
d,di
tmbah,tambah
kcil,kecil
cntik,cantik
mmberi,memberi
kberkahn,keberkahan
kbahagiaan,kebahagiaan
smoga,semoga
tntram,tentram
brsama,bersama
kel,keluarga
hngga,hingga
kl,kalo
ad,ada
yg,yang
brpndapat,berpendapat
mnilai,menilai
trutama,terutama
jgn,jangan
d,di
hiraukn,hiraukan
diamkn,diamkan
sj,saja
hrsny,harusny
mreka,mereka
brsyukur,bersyukur
in,ini
mmberikn,memberikan
utk,untuk
d,di
rasakn,rasakan
d,di
utk,untuk
cari2,cari-cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
yg,yang
sdh,sudah
it,itu
trutama,terutama
tiba2,tiba-tiba
matany,matanya
krn,karena
perasaanny,perasaannya
gak,tidak
milih,memilih
sukak,suka
bgt,banget
liat,lihat
mmg,memang
gk,tidak
slh,salah
yaa,ya
dede,adek
yg,yang
diindonesis,diindonesia
seneng,senang
liyatnya,lihatnya
kayahhh,kaya
yg,yang
beneran,benaran
tu,itu
org,orang
tai,tahi
gw,gue
hrs,harus
ala2,ala-ala
ala2,ala-ala
indo,indonesia
kk,kakak
nonton,nonton
yook,yuk
yoookkkk,yuk
siihh,sih
elus2,elus-elus
asliiiii,asli
nonton,nonton
aduuhhhh,aduh
baper,bawa perasaan
yha,ya
yg,yang
engga,tidak
ampuuun,ampun
yg,yang
ngatain,mengatai
belom,belum
ngaca,mengaca
ngomong,mengomong
diajarin,diajari
bgt,banget
yg,yang
ngatain,mengatai
dengerin,mendengarkan
gk,tidak
sampe,sampai
yaaa,ya
liat,lihat
ngehina,menghina
gini,begini
lucu2,lucu-lucu
ngatain,mengatai
d,di
rmh,rumah
ga,tidak
bgt,banget
ngatain,mengatai
ga,tidak
padahl,padahal
knp,kenapa
kasian,kasihan
ga,tidak
doank,doang
tpi,tapi
kasian,kasihan
udahlah,sudahlah
bgt,banget
jelekin,menjelekkan
org,orang
org,orang
yg,yang
ngatain,mengatai
kek,kayak
gitu,begitu
nggak,tidak
ngaca,mengaca
dikatain,dikatai
kek,kayak
org,orang
ngatain,mengatai
org,orang
btul,betul
tu,itu
mrk,mereka
gimana,bagaimana
ga,tidak
d,di
sekolahin,sekolahkan
astagaaaa,astaga
ank,anak
gak,tidak
ortu,orang tua
"kecil""",kecil-kecil
da,dah
jd,jadi
jgn,jangan
karna,karena
klo,kalo
dr,dari
donk,dong
yg,yang
"keren""",keren-keren
ngomongnya,mengomongnya
engga,tidak
kejahatn,kejahatan
bhwa,bahwa
slam,salam
ngatain,mengatai
ngelewati,melewati
gak,tidak
yaaaa,ya
kalu,kalo
kalu,kalo
jngan,jangan
ngerendahin,merendahkan
nyalahin,menyalahkan
apaalahh,apalah
gak,tidak
ngerasa,merasa
ga,tidak
d,di
klo,kalo
tnp,tanpa
menyebut2,menyebut-nyebut
hny,hanya
sm,sama
tp,tapi
jg,juga
ap,apa
yg,yang
sy,saya
tdk,tidak
klo,kalo
d,di
d,di
sbg,sebagai
ortu,orang tua
hrus,harus
jgn,jangan
yg,yang
slh,salah
klo,kalo
bgtu,begitu
ga,tidak
yg,yang
bener,benar
yg,yang
slh,salah
yg,yang
kmu,kamu
gak,tidak
nyangka,menyangka
kmu,kamu
udah,sudah
jngan,jangan
sy,saya
kmrn,kemarin
na,nya
bkn,bukan
utk,untuk
tp,tapi
utk,untuk
yg,yang
d,di
lg,lagi
yg,yang
mnt,minta
sprti,seperti
sm,sama
kiya,kita
aja,saja
gak,tidak
ngaca,mengaca
gak,tidak
yah,ya
smpe,sampai
ga,tidak
yg,yang
sampe,sampai
bgt,banget
ga,tidak
miriiiiip,mirip
dirimuuu,dirimu
yg,yang
udh,sudah
cantiik,cantik
aamiin,amin
pake,pakai
gini,begini
amiiiiinnn,amin
bsk,besok
diginiin,dibeginikan
gini,begini
yaah,ya
yoiiu,yoi
yaaa,ya
semuanyaaaa,semuanya
tp,tapi
yaa,ya
smg,semoga
cpt,cepat
nyusul,menyusul
yah,ya
artis2,artis-artis
yg,yang
suka.a,sukanya
jdii,jadi
ikut2an,ikut-ikutan
ni,nih
blnja,belanja
d,di
fto,foto
sma,sama
brangnya,barangnya
"sama""",sama-sama
bgus,bagus
jga,juga
bgs,bagus
bngt,banget
hdp,hidup
kk,kakak
lw,kalo
ada2,ada-ada
aja,saja
yg,yang
nimpuk,menimpuk
ga,tidak
gara2,gara-gara
rekomendasiin,merekomendasikan
abiss,habis
temennya,temannya
gk,tidak
tp,tapi
tdk,tidak
prlu,perlu
lg,lagi
karna,karena
yaa,ya
gw,gue
coyyy,coy
gk,tidak
tdk,tidak
prlu,perlu
lg,lagi
suaranyaa,suaranya
denger,dengar
bgt,banget
jgn,jangan
yg,yang
bener,benar
udh,sudah
ngurusin,mengurusi
hdup,hidup
org,orang
aja,saja
yg,yang
baik2,baik-baik
klo,kalo
belain,membela
krn,karena
kluarga,keluarga
yg,yang
aja,saja
jalanin,menjalani
hdup,hidup
gk,tidak
d,di
yg,yang
jnagn,jangan
tar,entar
gw,gue
sma,sama
tp,tapi
gara2,gara-gara
gw,gue
kcwa,kecewa
udah,sudah
yg,yang
bgt,banget
skrg,sekarang
jaman2,jaman-jaman
sm,sama
dlu,dulu
sok2an,sok-sokan
dket2in,dekat-dekati
jd,jadi
cobak,coba
dehh,deh
psti,pasti
msh,masih
britanya,beritanya
ehhh,eh
ilang,hilang
tau2,tau-tau
pcrn,pacaran
sm,sama
trs,terus
mahh,mah
emg,memang
g,tidak
tetep,tetap
ngatain,mengatai
sii,sih
yg,yang
trlalu,terlalu
sbg,sebagai
jamam,jaman
skrg,sekarang
org,orang
yg,yang
org,orang
yg,yang
gini,begini
yaaa,ya
utk,untuk
tetep,tetap
yaa,ya
dengerin,mendengarkan
aja,saja
yg,yang
sma,sama
yg,yang
ngga,tidak
ngebela,membela
siapa2,siapa-siapa
kog,kok
paraa,para
seharusny,seharusnya
berfikir,berpikir
dasaar,dasar
ngk,tidak
bergunaa,berguna
mulutnyaaa,mulutnya
pnya,punya
tmen,teman
ko,kok
pda,pada
nusuk,menusuk
dr,dari
blkng,belakang
udah,sudah
nyindir,menyindir
ama,sama
tp,tapi
aja,saja
ama,sama
s,si
pd,pada
kcewa,kecewa
lucuk,lucu
jd,jadi
gk,tidak
gak,tidak
mnusuk,menusuk
dri,dari
blkang,belakang
tp,tapi
emang,memang
lgsg,langsung
jd,jadi
syp,siapa
yg,yang
muna,munafik
sukak,suka
ma,sama
skrg,sekarang
gak,tidak
gr2,gara-gara
nembak,menembak
dri,dari
blkng,belakang
aja,saja
yg,yang
trmanis,termanis
y,ya
krng,kurang
mksh,terima kasih
nembak,menembak
kaciiaann,kasihan
uda,sudah
sok2an,sok-sokan
nyela,mencela
org,orang
sndiri,sendiri
bgt,banget
nyindir,menyindir
jgn,jangan
pake,pakai
gtu,begitu
keles,kali
lg,lagi
temen,teman
ga,tidak
bener,benar
belain,membela
inget,ingat
ngomong,mengomong
ngejilat,menjilat
ga,tidak
yaah,ya
gtu,begitu
yak,ya
gk,tidak
inget,ingat
yg,yang
sm,sama
gimana,bagaimana
jgn,jangan
donk,dong
ntar,entar
y,ya
sy,saya
bs,bisa
yg,yang
ny,nya
hallooo,halo
deketin,dekati
baget,banget
hy,hai
kk,kakak
km,kamu
hallooo,halo
tayik,tahi
ga,tidak
liat,lihat
halooo,halo
ustzah,ustazah
klo,kalo
halow,halo
jga,juga
yg,yang
mn,mana
poooolllll,pol
cantik2,cantik-cantik
tahannn,tahan
cuantik,cantik
bgt,banget
ga,tidak
bngt,banget
klo,kalo
liat,lihat
kmu,kamu
kyk,kayak
bgni,begini
aduhh,aduh
bangetttt,banget
jt,juta
yg,yang
ga,tidak
prlu,perlu
pke,pakai
aduuh,aduh
gak,tidak
tp,tapi
bs,bisa
cm,cuma
klo,kalo
jg,juga
utk,untuk
nyimpen,menyimpan
ngarsipin,mengarsipkan
emang,memang
cman,cuman
ehh,eh
nyaranin,menyarankan
pingin,pengin
parahh,parah
gituuuuu,begitu
ad,ada
bsa,bisa
kyy,kaya
gitu,begitu
y,ya
kk,kakak
kangenn,kangen
bangett,banget
kgn,kangen
bgtttt,banget
kangenn,kangen
yaa,ya
kngn,kangen
bgt,banget
yg,yang
dlu,dulu
kq,kok
skrg,sekarang
yg,yang
udh,sudah
bgt,banget
sma,sama
nyesek,menyesak
pngn,pengin
dlu,dulu
kangeen,kangen
liat,lihat
yg,yang
bkn,bukan
rinduuuuuuu,rindu
kangennnn,kangen
kangenn,kangen
b2,berdua
bgini,begini
lucuuu,lucu
bgt,banget
kangeeeennn,kangen
sm,sama
klian,kalian
mg,moga
bsok,besok
bgus,bagus
bs,bisa
jd,jadi
aamiiiiinnn,amin
gemezzzz,gemas
bgt,banget
mang,memang
ber2,berdua
kangennnnnn,kangen
kangennn,kangen
bgt,banget
klian,kalian
prh,parah
jg,juga
y,ya
bakattt,bakat
pinter,pintar
bgt,banget
bet,banget
napsuu,napsu
bgt,banget
lucuuu,lucu
gak,tidak
mauu,mau
gemesin,menggemaskan
gmau,tidak mau
luccu,lucu
ehh,eh
ngeselin,mengesalkan
prasaan,perasaan
gmna,bagaimana
gak,tidak
lahirr,lahir
karna,karena
aq,aku
aq,aku
kyknya,kayaknya
g,tidak
jelekin,menjelekkan
ngingetin,mengingatkan
klo,kalo
jd,jadi
yg,yang
ma,sama
setujuuuu,setuju
jd,jadi
sering2,sering-sering
tuk,untuk
org,orang
klo,kalo
org,orang
dlu,dulu
g,tidak
mantappp,mantap
bnr,benar
ceemen,cemen
bgtt,banget
ga,tidak
nyindir,menyindir
ngakak,mengakak
bc,baca
bener,benar
"sembunyi""""",sembunyi-sembunyi
dn,dan
yg,yang
dri,dari
yg,yang
utk,untuk
dri,dari
skrnh,sekarang
cerdiik,cerdik
jg,juga
jeniuss,jenius
sipp,sip
kurangin,kurangi
bener,benar
bangettt,banget
neh,nih
mkin,makin
aja,saja
k,kak
mkin,makin
kreen,keren
bsa,bisa
ank,anak
yah,ya
s'lalu,selalu
met,selamat
met,selamat
bingitt,banget
mauuuuuu,mau
gak,tidak
blh,boleh
mintk,minta
gk,tidak
kya,kaya
nyolong,mencolong
km,kamu
emg,memang
donk,dong
sllu,selalu
pnjng,panjang
psti,pasti
slaluuuuu,selalu
kanggggg,kang
smoga,semoga
smoga,semoga
d,di
rezeqinya,rezekinya
pintr,pintar
ank,anak
dekk,dek
aq,aku
maw,mau
ngakak,mengakak
njirr,anjir
jdi,jadi
kura2,kura-kura
jdi,jadi
edaaann,edan
gw,gue
nempel,menempel
yg,yang
udah,sudah
ga,tidak
bangettttt,banget
hatiiii,hati
sukkaa,suka
sukaa,suka
sukaaa,suka
sm,sama
luuuucuuu,lucu
caantiiik,cantik
lucuuu,lucu
kaka,kakak
dapetin,mendapatkan
prodak,produk
ga,tidak
trims,terima kasih
yah,ya
luucuuu,lucu
bngt,banget
ngambek,mengambek
lucuuu,lucu
cantikk,cantik
bgt,banget
cantikk,cantik
hnya,hanya
putihh,putih
yg,yang
lohh,loh
ga,tidak
yg,yang
ga,tidak
"terus""an",terus-terusan
sihh,sih
ntar,entar
nyesel,menyesal
lohh,loh
gemez,gemas
yah,ya
lutuna,lucunya
bnget,banget
bgt,banget
siiih,sih
gemes,gemas
yuu,yuk
gemes,gemas
ternyataa,ternyata
rekomendasiin,rekomendasikan
cantikk,cantik
pollll,pol
sekaliiii,sekali
yaaa,ya
ga,tidak
peduliin,mempedulikan
org,orang
komntr,komentar
aj,saja
mcm,macam
yg,yang
kk,kakak
hrus,harus
smngat,semangat
dosax,dosanya
pahalax,pahalanya
kk,kakak
yg,yang
sy,saya
dgn,dengan
kk,kakak
org,orang
d,di
akhirt,akhirat
krn,karena
lgsung,langsung
dr,dari
qt,kita
tinggalkn,tinggalkan
rumh,rumah
tnpa,tanpa
mk,maka
dosax,dosanya
ga,tidak
bs,bisa
trhtung,terhitung
lg,lagi
kk,kakak
cantikkkkk,cantik
bget,banget
tteh,teteh
naaaa,nya
ademmm,adem
lanjutin,lanjutkan
akuu,aku
sukaa,suka
bangett,banget
samaa,sama
kaka,kakak
udh,sudah
cerdass,cerdas
cantikk,cantik
lagii,lagi
pake,pakai
hijabb,hijab
tambahh,tambah
polll,pol
cantiknyaa,cantiknya
cantikk,cantik
kaa,kak
kaa,kak
didengerin,didengarkan
kaa,kak
dlu,dulu
mantapppppp,mantap
kl,kalo
blm,belum
bs,bisa
wktu,waktu
ngerespon,merespons
yg,yang
tehh,teh
diemin,diamkan
ahh,ah
yg,yang
dulurrr,dulur
tetehh,teteh
slalu,selalu
brusaha,berusaha
pahamin,memahami
klo,kalo
yg,yang
lebh,lebih
krna,karena
alloh,allah
smoga,semoga
slalu,selalu
aminn,amin
amin2,amin-amin
sm,sama
yg,yang
ksh,kasih
positippp,positif
hrs,harus
smg,semoga
yg,yang
qta,kita
utk,untuk
skrg,sekarang
yg,yang
jauuhhh,jauh
lbh,lebih
lg,lagi
semangatt,semangat
trs,terus
sneng,senang
liat,lihat
k',kak
brhjb,berhijab
mdh2n,mudah-mudahan
bsa,bisa
slmnya,salamnya
k',kak
amiiin,amin
jlbb,jilbab
dempga,semoga
selmnya,selamanya
pke,pakai
tth,teteh
aamiin,amin
otot2,otot-otot
dgn,dengan
lengkeeett,lengket
caaannnttiikkk,cantik
bgt,banget
pake,pakai
wahh,wah
kemaren,kemarin
kaaa,kak
sukaaaa,suka
bgt,banget
cantikkk,cantik
jgn,jangan
y,ya
tmbh,tambah
trusss,terus
kk,kakak
kk,kakak
gn,begini
sm,sama
ademm,adem
apalagiii,apalagi
passs,pas
beginii,begini
satuu,satu
udh,sudah
lahh,lah
cuantek,cantik
bgt,banget
akuuuur,akur
jd,jadi
sm,sama
kerennnn,keren
iniehh,ini
bangettt,banget
dehhh,deh
bgtu,begitu
sayangx,sayangnya
gk,tidak
jd,jadi
jodohx,jodohnya
bgmn,bagaimana
lg,lagi
kaliaan,kalian
sm2,sama-sama
haslnya,hasilnya
stlh,setelah
skrng,sekarang
ak,aku
kencng,kencang
jg,juga
kk,kakak
bgt,banget
trus,terus
sm,sama
kk,kakak
jgn,jangan
bundaa,bunda
klu,kalo
laki2,laki-laki
bgitu,begitu
msh,masih
jng,jangan
krn,karena
neh,nih
kluarga,keluarga
pmbantu,pembantu
yg,yang
y,ya
gg,tidak
nahan,menahan
emng,memang
smga,semoga
kmbl,kembali
ad,ada
kmbali,kembali
kpd,kepada
amiiiin,amin
bru,baru
cuchook,cocok
kloop,klop
sempurnaa,sempurna
sneng,senang
bnget,banget
inii,ini
klrga,keluarga
kyk,kayak
dlu,dulu
klihatan,kelihatan
cintax,cintanya
bgtu,begitu
ma,sama
pnuh,penuh
skrg,sekarang
g,tidak
ngrti,mengerti
lg,lagi
ap,apa
artix,artinya
smoga,semoga
lg,lagi
trlalu,terlalu
untk,untuk
"mudah""an",mudah-mudahan
dpt,dapat
yg,yang
lbh,lebih
"segala""ny",segala-galanya
dr,dari
mantanny,mantannya
yg,yang
y,ya
org,orang
pst,pasti
jodohny,jodohnya
org,orang
jg,juga
anak2nya,anak-anaknya
smoga,semoga
dpt,dapat
yg,yang
amiiin,amin
cocokkk,cocok
cantk,cantik
ituuu,itu
gak,tidak
nyesel,menyesal
seneng,senang
ngeliat,melihat
gk,tidak
tdk,tidak
gk,tidak
knpa,kenapa
kaasian,kasihan
smua,semua
dpt,dapat
laki2,laki-laki
tp,tapi
padhl,padahal
"ank""",anak-anak
d,di
pkrin,pikirkan
kn,kan
anakx,anaknya
yg,yang
jagain,menjaga
jngan,jangan
sia2kan,sia-siakan
klian,kalian
masi,masih
jdi,jadi
pgn,pengin
mauu,mau
wowww,wow
naaahhh,nah
km,kamu
blm,belum
beluumm,belum
sayangggq,sayangku
bsk,besok
woow,wow
kreean,keren
banger,banget
ciiieee,cie
cieee,cie
cieeee,cie
berenanh,berenang
yuuk,yuk
yukk,yuk
pacarr,pacar
kuu,ku
pen,pengin
bingitss,banget
besokkk,besok
anjirrrr,anjir
jdi,jadi
pcrn,pacaran
bngt,banget
gk,tidak
annnnjjjjjjrrrr,anjir
brp,berapa
dehh,deh
ngeliatin,melihati
org,orang
trmasuk,termasuk
anak2,anak-anak
trll,terlalu
ngumbar2,mengumbar-umbar
brdua,berdua
romantiss,romantis
bgt,banget
ciee,cie
cocook,cocok
syg,sayang
lucuuuuuuuu,lucu
yank,sayang
lucuuuuu,lucu
kaaaaaann,kan
nyaaaaaaa,nya
lgs,langsung
yaang,yang
ga,tidak
ngeluarin,mengeluarkan
lagiiii,lagi
bangedt,banget
bgt,banget
dahh,dah
njir,anjir
bgt,banget
gde,gede
bgt,banget
gn,begini
lutunaaa,lucunya
bgt,banget
bikinnn,bikin
keee,ke
bungkuuussss,bungkus
bgt,banget
pngn,pengin
pnya,punya
kyk,kayak
lucux,lucunya
lucuu,lucu
gemes,gemas
lucuu,lucu
bntr,bentar
lg,lagi
jgn,jangan
bgt,banget
c,sih
gemesss,gemas
bangettt,banget
yaa,ya
buanyaaak,banyak
aaamiiinnn,amin
aamiin,amin
aaamiiin,amin
aamiin,amin
ntap,mantap
abgnyaah,abangnya
abg,abang
mungkiin,mungkin
akuhh,aku
amiin,amin
pastii,pasti
foto2,foto-foto
yukkk,yuk
bgt,banget
ngelihat,melihat
lbh,lebih
manteb,mantap
hiduupppp,hidup
org,orang
lucu2,lucu-lucu
yak,ya
tebel,tebal
bgt,banget
bkn,bukan
orng,orang
nganggepin,menanggapi
nganggepin,menanggapi
ttp,tetap
"mentang""",mentang-mentang
gk,tidak
ky,kaya
najiss,najis
ngarep,mengharap
lg,lagi
gw,gue
jgan,jangan
gw,gue
perjabatt,pejabat
yg,yang
baikk,baik
tp,tapi
org2,orang-orang
cm,cuma
knp,kenapa
makany,makanya
jngn,jangan
